Revenue Retention Score,AR Score,Revenue Trend Score,Count
56,100,59,2
56,100,62,6
56,100,64,2
56,100,67,2
56,100,73,1
57,100,28,3
57,100,31,1
57,100,56,1
57,100,59,1
57,100,64,1
57,100,67,2
57,100,70,2
57,100,73,1
57,100,75,1
58,25,25,1
58,100,28,1
58,100,31,4
58,100,56,2
58,100,59,1
58,100,62,2
58,100,64,4
58,100,67,3
58,100,70,2
59,100,31,5
59,100,56,1
59,100,59,4
59,100,62,1
59,100,64,2
59,100,67,3
59,100,70,3
59,100,75,1
59,100,87,1
60,0,23,1
60,0,64,1
60,100,23,1
60,100,28,4
60,100,31,5
60,100,62,4
60,100,64,5
60,100,67,7
60,100,70,1
61,0,67,1
61,11,50,1
61,100,25,1
61,100,31,3
61,100,56,1
61,100,59,4
61,100,62,2
61,100,64,5
61,100,67,2
61,100,70,3
61,100,73,1
61,100,75,1
62,100,31,7
62,100,53,1
62,100,56,1
62,100,59,2
62,100,62,1
62,100,64,4
62,100,67,2
62,100,70,5
62,100,73,3
63,0,31,1
63,0,56,1
63,99,73,1
63,100,25,1
63,100,28,3
63,100,31,2
63,100,53,2
63,100,59,1
63,100,62,4
63,100,64,3
63,100,67,2
64,100,25,1
64,100,28,1
64,100,31,6
64,100,50,1
64,100,56,3
64,100,59,2
64,100,62,3
64,100,64,6
64,100,67,3
64,100,70,4
64,100,75,1
65,53,59,1
65,100,31,1
65,100,56,2
65,100,59,1
65,100,62,7
65,100,64,7
65,100,67,6
65,100,70,6
65,100,73,2
65,100,78,1
65,100,81,1
66,0,31,1
66,100,31,13
66,100,50,1
66,100,53,2
66,100,56,3
66,100,59,3
66,100,62,3
66,100,64,2
66,100,67,4
66,100,70,1
66,100,73,1
66,100,75,1
66,100,78,1
67,0,20,1
67,0,67,1
67,100,31,5
67,100,50,2
67,100,56,3
67,100,59,3
67,100,62,9
67,100,64,7
67,100,67,9
67,100,70,3
67,100,73,4
67,100,75,2
67,100,78,1
68,0,20,1
68,0,31,1
68,55,70,1
68,100,25,1
68,100,31,7
68,100,53,2
68,100,56,2
68,100,59,5
68,100,62,4
68,100,64,3
68,100,67,3
68,100,70,3
68,100,73,3
68,100,75,1
68,100,78,1
69,0,67,2
69,0,70,1
69,100,25,2
69,100,28,1
69,100,31,5
69,100,53,1
69,100,56,1
69,100,59,5
69,100,62,3
69,100,64,3
69,100,67,5
69,100,70,5
69,100,78,1
70,38,31,1
70,100,25,1
70,100,31,5
70,100,56,2
70,100,59,1
70,100,62,7
70,100,64,6
70,100,67,10
70,100,70,5
70,100,73,6
71,0,28,1
71,36,62,1
71,100,25,1
71,100,28,1
71,100,31,5
71,100,50,1
71,100,53,1
71,100,56,1
71,100,59,4
71,100,62,8
71,100,64,11
71,100,67,13
71,100,70,6
71,100,73,4
71,100,75,1
72,0,67,1
72,60,62,1
72,99,64,1
72,100,31,6
72,100,56,2
72,100,59,4
72,100,62,13
72,100,64,6
72,100,67,10
72,100,70,3
72,100,73,5
72,100,75,1
73,0,64,1
73,0,67,1
73,88,67,1
73,89,73,1
73,100,31,6
73,100,50,1
73,100,56,5
73,100,59,3
